pipeline,open_source,workflow_language,package_management,resource_management_support,cloud_compute_support,supporting_documentation,workflow_language_type,package_management_options,resource_management_options,cloud_compute_options,language,date_last_updated,date_last_checked,description,github,weblink,paper,other_notes
guigolab/grape-nf,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","bash, groovy, python",13/07/2021,26/07/2021,An automated RNA-seq pipeline using Nextflow,https://github.com/guigolab/grape-nf,,,
IARCbioinfo/RNAseq-nf,yes,yes,yes,yes,yes,extensive,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google",groovy,10/06/2021,26/07/2021,"Nextflow pipeline for RNA sequencing mapping, quality control, reads counting, and unsupervised analysis",https://github.com/IARCbioinfo/RNAseq-nf,,,
qbic-pipelines/rnadeseq,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","R, groovy",9/10/2020,26/07/2021,Differential gene expression analysis and pathway analysis of RNAseq data,https://github.com/qbic-pipelines/rnadeseq,,,
hoelzer-lab/rnaflow,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","groovy, R",21/07/2021,26/07/2021,A simple RNA-Seq differential gene expression pipeline using Nextflow,https://github.com/hoelzer-lab/rnaflow,,https://www.mdpi.com/2073-4425/11/12/1487,
uc-bd2k/GREP2,yes,no,no,no,no,moderate,NA,NA,NA,NA,R,26/10/2019,26/07/2021,Gene Expression Omnibus RNA-seq Experiments Processing Pipeline,https://github.com/uc-bd2k/GREP2,,,
gagneurlab/drop,yes,yes,yes,yes,no,moderate,snakemake,conda,"Sun Grid Engine, SLURM",NA,"python, R",21/07/2021,26/07/2021,"Pipeline to find aberrant events in RNA-Seq data, useful for diagnosis of rare disorders",https://github.com/gagneurlab/drop,https://www.nature.com/articles/s41596-020-00462-5,,
BD2KGenomics/toil-rnaseq,yes,yes,yes,no,yes,extensive,toil,docker,NA,aws,python,29/01/2019,26/07/2021,UC Santa Cruz Computational Genomics Lab's Toil-based RNA-seq pipeline,https://github.com/BD2KGenomics/toil-rnaseq,https://github.com/BD2KGenomics/toil-rnaseq/wiki,,
MonashBioinformaticsPlatform/RNAsik-pipe,yes,no,yes,no,no,extensive,NA,conda,NA,NA,BigDataScript (bds),21/11/2020,26/07/2021,This is fully SIcK way towards differential gene expression,https://github.com/MonashBioinformaticsPlatform/RNAsik-pipe,https://monashbioinformaticsplatform.github.io/RNAsik-pipe/,,
biowdl/RNA-seq,yes,yes,yes,yes,yes,extensive,wdl,docker,"Sun Grid Engine, Platform LSF, SLURM, Volcano","aws, google, Alibaba cloud","wdl, python, bash",16/07/2021,26/07/2021,"A BioWDL pipeline for processing RNA-seq data, starting with FASTQ files to produce expression measures and VCFs. Category:Multi-Sample",https://github.com/biowdl/RNA-seq,https://biowdl.github.io/RNA-seq/,,
crickbabs/rnaSeq_byBABS,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google",groovy,20/04/2018,26/07/2021,A Nextflow pipeline script for processing RNA-Seq data.,https://github.com/crickbabs/rnaSeq_byBABS,,,
GenomicParisCentre/eoulsan,yes,no,yes,yes,yes,extensive,NA,"docker, singularity","HT-Condor, TGCC, TORQUE, SLURM",aws,"java, perl, R",28/03/2021,26/07/2021,A pipeline and a framework for NGS analysis (RNA-Seq and soon Chip-Seq),https://github.com/GenomicParisCentre/eoulsan,https://www.outils.genomique.biologie.ens.fr/eoulsan2/,,Includes support for nanopore data
cellgeni/rnaseq,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","groovy, python, bash",13/02/2020,26/07/2021,Fast RNAseq pipeline,https://github.com/cellgeni/rnaseq,,,Branched off version of https://github.com/nf-core/rnaseq/
rna_fq2bam,no,,,,,moderate,,,,,,23/02/2021,26/07/2021,Spliced Transcripts Alignment to a Reference,,https://docs.nvidia.com/clara/parabricks/v3.5/text/rna.html#rna-fq2bam,,"Parabricks, GPU accelerated! Analysis can be done on CPU with GATK"
star_fusion,no,,,,,moderate,,,,,,23/02/2021,26/07/2021,Identifying candidate fusion transcripts,,https://docs.nvidia.com/clara/parabricks/v3.5/text/rna.html#star-fusion,,"Parabricks, GPU accelerated! Analysis can be done on CPU with GATK"
rna_pipeline,no,,,,,moderate,,,,,,23/02/2021,26/07/2021,Detect RNAseq short variants (SNPs + Indels). Compatible with GATK4 best practices.,,https://docs.nvidia.com/clara/parabricks/v3.5/text/rna_pipeline.html#rst-rna,,"Parabricks, GPU accelerated! Analysis can be done on CPU with GATK"
snakemake-workflows/rna-seq-star-deseq2,yes,yes,yes,yes,yes,extensive,snakemake,conda,"Sun Grid Engine, SLURM",,"python, R",9/07/2021,26/07/2021,Differential gene expression analysis with STAR and Deseq2,https://github.com/snakemake-workflows/rna-seq-star-deseq2,https://snakemake.github.io/snakemake-workflow-catalog/?usage=snakemake-workflows%2Frna-seq-star-deseq2,,
snakemake-workflows/rna-seq-kallisto-sleuth,yes,yes,yes,yes,yes,extensive,snakemake,conda,"Sun Grid Engine, SLURM",,"python, R",17/05/2021,26/07/2021,A Snakemake workflow for differential expression analysis of RNA-seq data with Kallisto and Sleuth.,https://github.com/snakemake-workflows/rna-seq-kallisto-sleuth,https://snakemake.github.io/snakemake-workflow-catalog/?usage=snakemake-workflows%2Frna-seq-kallisto-sleuth,,
StevenWingett/CloseCall,yes,no,no,no,no,moderate,NA,NA,NA,NA,"perl, java, R",26/09/2021,26/07/2021,Pipeline for processing Proximity RNA-seq datasets,https://github.com/StevenWingett/CloseCall,https://stevenwingett.github.io/CloseCall/,https://www.ncbi.nlm.nih.gov/pubmed/31267103,
zhongw2/GeneTEFlow,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","python, groovy, R",5/06/2021,26/07/2021,Differential expression analysis of genes and locus-specific transposable elements from RNA sequencing,https://github.com/zhongw2/GeneTEFlow,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0232994&type=printable,
lehner-lab/DiMSum,yes,no,yes,no,no,extensive,NA,conda,NA,,R,10/07/2021,26/07/2021,"Deep mutational scanning (DMS) enabling the multiplexed measurement of the effects of thousands of variants of proteins, RNAs, and regulatory elements",https://github.com/lehner-lab/DiMSum,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02091-3,
epruesse/ymp,yes,yes,yes,yes,no,extensive,snakemake,conda,NA,NA,python,11/05/2021,26/07/2021,Flexible omics pipeline,https://github.com/epruesse/ymp,https://ymp.readthedocs.io/en/stable/,,
KoesGroup/Snakemake_hisat-DESeq,yes,yes,yes,yes,no,moderate,snakemake,conda,NA,NA,"R, python",7/01/2020,26/07/2021,A snakemake pipeline for the analysis of RNA-seq data that makes use of hisat2 and DESeq2.,https://github.com/KoesGroup/Snakemake_hisat-DESeq,,,
,,,,,,,,,,,,,26/07/2021,,,,,
